127.0.0.1 - - [27/Aug/2024:09:17:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:38 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:42 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:43 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:43 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:43 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:44 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:51 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:51 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:51 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:53 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:31:54 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:10:32:18 +0900] "GET /front_end_20240627/3.js/js11_Array_%EB%B0%98%EB%B3%B5%EB%AC%B8%EA%B8%B0%EB%8A%A5.html HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [27/Aug/2024:11:27:13 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [27/Aug/2024:11:33:29 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [27/Aug/2024:11:34:38 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:14:17 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:15:48 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:07 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:09 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:10 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:10 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:10 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:11 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:11 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:16 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:16:17 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:20:01 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:31:42 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:33:28 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:33:29 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:33:29 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:33:29 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:35:30 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:35:31 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:36:01 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:39:27 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:40:15 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 2593
0:0:0:0:0:0:0:1 - - [27/Aug/2024:13:41:17 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:01:27 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:02:03 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 3155
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:02:32 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:05:55 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:06:09 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:07:45 +0900] "GET /front_end_20240627/3.js/js12_Date%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 3151
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:38:11 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:38:26 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:38:41 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:38:43 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:41:18 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:14:41:20 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:14:31 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:14:44 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:14:45 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:14:50 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:15:18 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:15:35 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:17:03 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:17:04 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:17:05 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:27:39 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:27:50 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:30:40 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:30:41 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:45:30 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:46:45 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:49:22 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:52:05 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [27/Aug/2024:15:52:35 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:25 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:27 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:27 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:27 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:28 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:28 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:28 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:29 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:29 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:47 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:47 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:48 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:13:48 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:14:07 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:17:35 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:17:36 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:17:37 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:18:15 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:18:17 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:19 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:22 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:22 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:22 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:23 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:23 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:23 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:24 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:24 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:25 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:33:36 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:34:55 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:25 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 200 2365
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:26 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:27 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:27 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:27 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:40 +0900] "GET /front_end_20240627/3.js/Kalimba.mp3 HTTP/1.1" 200 8414449
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:41 +0900] "GET /front_end_20240627/3.js/Kalimba.mp3 HTTP/1.1" 206 8414449
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:37:49 +0900] "GET /front_end_20240627/3.js/js14_window%EA%B0%9D%EC%B2%B4_timer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:38:00 +0900] "GET /front_end_20240627/3.js/Kalimba.mp3 HTTP/1.1" 200 8414449
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:38:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Aug/2024:16:38:01 +0900] "GET /front_end_20240627/3.js/Kalimba.mp3 HTTP/1.1" 206 1599611
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:35:40 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:35:43 +0900] "GET /front_end_20240627/3.js/js13_pop.html HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:38 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:39 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:39 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:40 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:40 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:40 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:40 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:40 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:41 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:41 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:42 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:42 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2024:17:40:42 +0900] "GET /front_end_20240627/3.js/js13_window%EA%B0%9D%EC%B2%B4_open%ED%95%A8%EC%88%98.html HTTP/1.1" 304 -
